#             M		     r	       rho(r)	        T(r)	       M(r)	      L(r)	    dL/dr        dLpp/dr       dLcno/dr	   dlogP/dlogT	  r/R	  	 rho(r)/rhoc        T(r)/Tc         M(r)/M         L(r)/L    	   kappa        kappaHm        kappaff        kappaes              P           Pdeg           Pgas           Ppho        drho/dr          dT/dr          dM/dr          dL/dr
#             g		    cm	       g/cm^3		   K		  g	     erg/s	 erg/s/cm       erg/s/cm       erg/s/cm                                                                                                   cm^2/g         cm^2/g         cm^2/g         cm^2/g       erg/cm^3       erg/cm^3       erg/cm^3       erg/cm^3         g/cm^4           K/cm           g/cm       erg/s/cm
#
    3.71234e+33          70000        77.7466          2e+07    1.11703e+17     8.9035e+19    3.81579e+15    3.12225e+14    3.50356e+15            2.5    7.49312e-07              1              1    3.00896e-17    1.18426e-15           0.34    1.12863e+36       0.201149           0.34     2.2265e+17    1.40901e+16    2.08156e+17    4.03504e+14   -2.47245e-14   -4.24759e-09    4.78726e+12    3.81579e+15
    3.71234e+33         140000        77.7466          2e+07    8.93622e+17     7.1228e+20    1.52631e+16     1.2489e+15    1.40142e+16            2.5    1.49862e-06              1              1    2.40717e-16    9.47405e-15           0.34    1.12863e+36       0.201149           0.34     2.2265e+17    1.40901e+16    2.08156e+17    4.03504e+14   -4.94491e-14   -8.49519e-09     1.9149e+13    1.52631e+16
    3.71234e+33         490000        77.7466          2e+07     3.8314e+19     3.0539e+22    1.86974e+17     1.5299e+16    1.71675e+17            2.5    5.24518e-06              1              1    1.03207e-14      4.062e-13           0.34    1.12863e+36       0.201149           0.34     2.2265e+17    1.40901e+16    2.08156e+17    4.03504e+14   -1.73072e-13   -2.97332e-08    2.34576e+14    1.86974e+17
    3.71234e+33       2.24e+06        77.7466          2e+07    3.66028e+21     2.9175e+24    3.90737e+18    3.19719e+17    3.58765e+18            2.5     2.3978e-05              1              1    9.85975e-13    3.88057e-11           0.34    1.12863e+36       0.201149           0.34     2.2265e+17    1.40901e+16    2.08156e+17    4.03504e+14   -7.91185e-13   -1.35923e-07    4.90216e+15    3.90737e+18
    3.71234e+33      1.099e+07        77.7465          2e+07    4.32278e+23    3.44555e+26     9.4055e+19    7.69603e+18    8.63589e+19            2.5    0.000117642              1              1    1.16443e-10    4.58294e-09           0.34    1.12863e+36       0.201149           0.34    2.22649e+17    1.40901e+16    2.08156e+17    4.03504e+14   -3.88175e-12   -6.66872e-07    1.18001e+17     9.4055e+19
    3.71234e+33      5.474e+07         77.746    1.99999e+07    5.34174e+25    4.25751e+28    2.33322e+21    1.90927e+20    2.14229e+21            2.5    0.000585962       0.999993       0.999995    1.43891e-08    5.66292e-07           0.34    1.12858e+36       0.201151           0.34    2.22647e+17      1.409e+16    2.08154e+17    4.03497e+14   -1.93345e-11    -3.3216e-06    2.92751e+18    2.33322e+21
    3.71234e+33     2.7349e+08        77.7334    1.99977e+07    6.66117e+27    5.30223e+30    5.81041e+22    4.76223e+21    5.33419e+22            2.5     0.00292756        0.99983       0.999887    1.79433e-06    7.05251e-05           0.34    1.12738e+36       0.201204           0.34    2.22586e+17    1.40861e+16    2.08097e+17    4.03321e+14   -9.65836e-11   -1.65937e-05    7.30634e+19    5.81041e+22
    3.71234e+33    6.44763e+08        77.6732    1.99874e+07    8.72417e+28    6.90122e+31    3.19356e+23    2.63728e+22    2.92983e+23            2.5     0.00690184       0.999056        0.99937    2.35004e-05    0.000917933           0.34    1.12171e+36        0.20146           0.34    2.22299e+17     1.4068e+16    2.07828e+17    4.02487e+14   -2.27536e-10   -3.91021e-05    4.05771e+20    3.19356e+23
    3.71234e+33    1.02914e+09        77.5597    1.99679e+07    3.54456e+29     2.7712e+32    7.96665e+23    6.67324e+22    7.29933e+23            2.5      0.0110163       0.997597       0.998394    9.54803e-05     0.00368598           0.34    1.11109e+36       0.201943           0.34    2.21757e+17    1.40337e+16    2.07322e+17    4.00919e+14   -3.62688e-10   -6.23581e-05    1.03227e+21    7.96665e+23
    3.71234e+33    1.42736e+09        77.3875    1.99383e+07    9.44411e+29    7.25363e+32    1.48424e+24    1.27042e+23     1.3572e+24            2.5      0.0152791       0.995382       0.996914    0.000254398     0.00964807           0.34    1.09512e+36       0.202679           0.34    2.20936e+17    1.39818e+16    2.06555e+17    3.98546e+14   -5.01991e-10   -8.63724e-05    1.98128e+21    1.48424e+24
    3.71234e+33    1.83452e+09        77.1543    1.98981e+07    2.00145e+30    1.50082e+33    2.34775e+24     2.0692e+23    2.14083e+24            2.5      0.0196375       0.992382       0.994906    0.000539135      0.0199625           0.34    1.07382e+36       0.203683           0.34    2.19825e+17    1.39117e+16    2.05518e+17    3.95345e+14   -6.43383e-10   -0.000110811    3.26298e+21    2.34775e+24
    3.71234e+33    2.25031e+09         76.857    1.98469e+07    3.68554e+30    2.68085e+33    3.34237e+24    3.05781e+23    3.03659e+24            2.5      0.0240883       0.988558       0.992344    0.000992779      0.0356581           0.34    1.04716e+36       0.204975           0.34    2.18413e+17    1.38225e+16    2.04199e+17    3.91289e+14   -7.86382e-10   -0.000135612    4.89078e+21    3.34237e+24
    3.71234e+33    2.67574e+09        76.4917    1.97838e+07    6.17822e+30    4.33003e+33     4.4144e+24    4.22811e+23    3.99159e+24            2.5      0.0286423       0.983859       0.989192     0.00166424      0.0575939           0.34    1.01517e+36        0.20658           0.34    2.16682e+17    1.37131e+16    2.02583e+17     3.8634e+14   -9.30925e-10   -0.000160792    6.88193e+21     4.4144e+24
    3.71234e+33    3.11272e+09        76.0528     1.9708e+07    9.69298e+30    6.49876e+33    5.50392e+24    5.57014e+23    4.94691e+24            2.5      0.0333199       0.978214       0.985398     0.00261101      0.0864401           0.34    9.77852e+35       0.208535           0.34    2.14611e+17    1.35822e+16    2.00648e+17    3.80447e+14   -1.07719e-09    -0.00018641    9.25985e+21    5.50392e+24
    3.71234e+33     3.5641e+09         75.533    1.96179e+07    1.44913e+31    9.22296e+33    6.54725e+24    7.07249e+23    5.84001e+24            2.5      0.0381517       0.971528       0.980895     0.00390354       0.122675           0.34    9.35151e+35        0.21089           0.34    2.12167e+17    1.34279e+16    1.98366e+17    3.73541e+14   -1.22559e-09   -0.000212571    1.20572e+22    6.54725e+24
    3.71234e+33    4.03399e+09        74.9214    1.95117e+07      2.091e+31    1.25258e+34    7.47928e+24    8.72272e+23    6.60701e+24            2.5      0.0431817       0.963662       0.975584     0.00563257       0.166605           0.34    8.86946e+35       0.213716           0.34    2.09307e+17    1.32472e+16    1.95694e+17    3.65517e+14   -1.37676e-09   -0.000239435     1.5321e+22    7.47928e+24
    3.71234e+33    4.52863e+09        74.2019    1.93864e+07    2.94137e+31    1.64226e+34    8.23527e+24    1.05084e+24    7.18443e+24            2.5      0.0484765       0.954407       0.969318     0.00792321       0.218438           0.34    8.32939e+35        0.21712           0.34    2.05962e+17    1.30358e+16     1.9257e+17    3.56215e+14   -1.53184e-09   -0.000267255    1.91231e+22    8.23527e+24
    3.71234e+33    5.05837e+09        73.3475     1.9237e+07    4.07084e+31    2.09357e+34    8.75111e+24    1.24203e+24    7.50907e+24            2.5      0.0541471       0.943418       0.961851      0.0109657       0.278466           0.34    7.72452e+35       0.221275           0.34    2.02018e+17    1.27866e+16    1.88886e+17    3.45365e+14    -1.6928e-09    -0.00029647     2.3584e+22    8.75111e+24
    3.71234e+33    5.64397e+09        72.3058    1.90541e+07    5.60676e+31    2.61392e+34    8.95826e+24    1.44631e+24    7.51195e+24            2.5      0.0604156       0.930019       0.952706       0.015103       0.347678           0.34    7.03766e+35       0.226519           0.34    1.97251e+17    1.24854e+16    1.84433e+17    3.32418e+14   -1.86398e-09   -0.000327998    2.89436e+22    8.95826e+24
    3.71234e+33    6.23725e+09        71.1504    1.88503e+07    7.49524e+31    3.14264e+34    8.80999e+24    1.63833e+24    7.17166e+24            2.5      0.0667664       0.915158       0.942514      0.0201901       0.418003           0.34    6.33708e+35       0.232572           0.34    1.92018e+17    1.21546e+16    1.79545e+17    3.18419e+14   -2.02954e-09   -0.000359037    3.47835e+22    8.80999e+24
